source,config,second,level,r_raw
bbb,L3T3_sf,0,1,27.112
bbb,L3T3_sf,1,1,107.304
bbb,L3T3_sf,2,1,74.6
bbb,L3T3_sf,3,1,72.96
bbb,L3T3_sf,4,1,75.176
bbb,L3T3_sf,5,1,67.128
bbb,L3T3_sf,6,1,77.0
bbb,L3T3_sf,7,1,76.824
bbb,L3T3_sf,8,1,81.52
bbb,L3T3_sf,9,1,70.544
bbb,L3T3_sf,10,1,75.696
bbb,L3T3_sf,11,1,118.824
bbb,L3T3_sf,12,1,23.12
bbb,L3T3_sf,13,1,70.736
bbb,L3T3_sf,14,1,70.216
bbb,L3T3_sf,15,1,79.936
bbb,L3T3_sf,16,1,74.0
bbb,L3T3_sf,17,1,92.056
bbb,L3T3_sf,18,1,58.464
bbb,L3T3_sf,19,1,94.056
bbb,L3T3_sf,20,1,69.16
bbb,L3T3_sf,21,1,47.576
bbb,L3T3_sf,22,1,58.416
bbb,L3T3_sf,23,1,39.536
bbb,L3T3_sf,24,1,56.04
bbb,L3T3_sf,25,1,78.6
bbb,L3T3_sf,26,1,80.536
bbb,L3T3_sf,27,1,72.56
bbb,L3T3_sf,28,1,83.728
bbb,L3T3_sf,29,1,70.192
bbb,L3T3_sf,30,1,76.224
bbb,L3T3_sf,31,1,76.248
bbb,L3T3_sf,32,1,84.16
bbb,L3T3_sf,33,1,64.584
bbb,L3T3_sf,34,1,74.592
bbb,L3T3_sf,35,1,70.848
bbb,L3T3_sf,36,1,83.176
bbb,L3T3_sf,37,1,71.096
bbb,L3T3_sf,38,1,83.552
bbb,L3T3_sf,39,1,68.776
bbb,L3T3_sf,40,1,81.0
bbb,L3T3_sf,41,1,71.632
bbb,L3T3_sf,42,1,79.912
bbb,L3T3_sf,43,1,74.472
bbb,L3T3_sf,44,1,85.536
bbb,L3T3_sf,45,1,64.368
bbb,L3T3_sf,46,1,83.632
bbb,L3T3_sf,47,1,77.208
bbb,L3T3_sf,48,1,48.24
bbb,L3T3_sf,49,1,66.608
bbb,L3T3_sf,50,1,82.512
bbb,L3T3_sf,51,1,81.584
bbb,L3T3_sf,52,1,83.592
bbb,L3T3_sf,53,1,72.736
bbb,L3T3_sf,54,1,81.032
bbb,L3T3_sf,55,1,70.424
bbb,L3T3_sf,56,1,58.472
bbb,L3T3_sf,57,1,78.96
bbb,L3T3_sf,58,1,84.792
bbb,L3T3_sf,59,1,60.664
bbb,L3T3_sf,60,1,105.72
bbb,L3T3_sf,61,1,60.416
bbb,L3T3_sf,62,1,65.136
bbb,L3T3_sf,63,1,68.312
bbb,L3T3_sf,64,1,46.928
bbb,L3T3_sf,65,1,79.64
bbb,L3T3_sf,66,1,68.416
bbb,L3T3_sf,67,1,74.832
bbb,L3T3_sf,68,1,89.864
bbb,L3T3_sf,69,1,86.2
bbb,L3T3_sf,70,1,61.016
bbb,L3T3_sf,71,1,58.312
bbb,L3T3_sf,72,1,55.824
bbb,L3T3_sf,73,1,48.496
bbb,L3T3_sf,74,1,53.4
bbb,L3T3_sf,75,1,49.672
bbb,L3T3_sf,76,1,55.944
bbb,L3T3_sf,77,1,53.168
bbb,L3T3_sf,78,1,52.08
bbb,L3T3_sf,79,1,52.768
bbb,L3T3_sf,80,1,54.784
bbb,L3T3_sf,81,1,47.32
bbb,L3T3_sf,82,1,61.464
bbb,L3T3_sf,83,1,45.12
bbb,L3T3_sf,84,1,52.128
bbb,L3T3_sf,85,1,67.2
bbb,L3T3_sf,86,1,62.056
bbb,L3T3_sf,87,1,55.096
bbb,L3T3_sf,88,1,53.896
bbb,L3T3_sf,89,1,76.648
bbb,L3T3_sf,90,1,75.928
bbb,L3T3_sf,91,1,78.224
bbb,L3T3_sf,92,1,72.496
bbb,L3T3_sf,93,1,64.648
bbb,L3T3_sf,94,1,95.032
bbb,L3T3_sf,95,1,79.056
bbb,L3T3_sf,96,1,76.712
bbb,L3T3_sf,97,1,48.064
bbb,L3T3_sf,98,1,84.816
bbb,L3T3_sf,99,1,63.52
bbb,L3T3_sf,100,1,62.912
bbb,L3T3_sf,101,1,103.272
bbb,L3T3_sf,102,1,48.912
bbb,L3T3_sf,103,1,84.592
bbb,L3T3_sf,104,1,72.44
bbb,L3T3_sf,105,1,81.176
bbb,L3T3_sf,106,1,66.256
bbb,L3T3_sf,107,1,76.784
bbb,L3T3_sf,108,1,76.312
bbb,L3T3_sf,109,1,77.776
bbb,L3T3_sf,110,1,67.048
bbb,L3T3_sf,111,1,83.872
bbb,L3T3_sf,112,1,96.176
bbb,L3T3_sf,113,1,29.272
bbb,L3T3_sf,114,1,65.76
bbb,L3T3_sf,115,1,92.424
bbb,L3T3_sf,116,1,71.96
bbb,L3T3_sf,117,1,114.528
bbb,L3T3_sf,118,1,47.224
bbb,L3T3_sf,119,1,59.728
bbb,L3T3_sf,120,1,94.424
bbb,L3T3_sf,121,1,53.696
bbb,L3T3_sf,122,1,76.04
bbb,L3T3_sf,123,1,80.6
bbb,L3T3_sf,124,1,77.448
bbb,L3T3_sf,125,1,68.432
bbb,L3T3_sf,126,1,120.792
bbb,L3T3_sf,127,1,38.064
bbb,L3T3_sf,128,1,51.672
bbb,L3T3_sf,129,1,75.232
bbb,L3T3_sf,130,1,81.816
bbb,L3T3_sf,131,1,83.264
bbb,L3T3_sf,132,1,58.4
bbb,L3T3_sf,133,1,82.816
bbb,L3T3_sf,134,1,75.288
bbb,L3T3_sf,135,1,78.864
bbb,L3T3_sf,136,1,62.832
bbb,L3T3_sf,137,1,86.568
bbb,L3T3_sf,138,1,70.064
bbb,L3T3_sf,139,1,82.936
bbb,L3T3_sf,140,1,60.312
bbb,L3T3_sf,141,1,82.312
bbb,L3T3_sf,142,1,80.744
bbb,L3T3_sf,143,1,74.76
bbb,L3T3_sf,144,1,65.968
bbb,L3T3_sf,145,1,75.68
bbb,L3T3_sf,146,1,65.36
bbb,L3T3_sf,147,1,52.992
bbb,L3T3_sf,148,1,54.856
bbb,L3T3_sf,149,1,51.728
bbb,L3T3_sf,150,1,64.056
bbb,L3T3_sf,151,1,56.84
bbb,L3T3_sf,152,1,54.064
bbb,L3T3_sf,153,1,42.648
bbb,L3T3_sf,154,1,55.88
bbb,L3T3_sf,155,1,49.016
bbb,L3T3_sf,156,1,54.312
bbb,L3T3_sf,157,1,52.48
bbb,L3T3_sf,158,1,65.28
bbb,L3T3_sf,159,1,71.272
bbb,L3T3_sf,160,1,69.024
bbb,L3T3_sf,161,1,71.304
bbb,L3T3_sf,162,1,66.536
bbb,L3T3_sf,163,1,116.928
bbb,L3T3_sf,164,1,69.36
bbb,L3T3_sf,165,1,65.512
bbb,L3T3_sf,166,1,63.72
bbb,L3T3_sf,167,1,72.248
bbb,L3T3_sf,168,1,61.024
bbb,L3T3_sf,169,1,68.424
bbb,L3T3_sf,170,1,65.976
bbb,L3T3_sf,171,1,66.824
bbb,L3T3_sf,172,1,91.328
bbb,L3T3_sf,173,1,73.824
bbb,L3T3_sf,174,1,88.168
bbb,L3T3_sf,175,1,73.72
bbb,L3T3_sf,176,1,51.72
bbb,L3T3_sf,177,1,69.648
bbb,L3T3_sf,178,1,74.368
bbb,L3T3_sf,0,2,84.784
bbb,L3T3_sf,1,2,416.384
bbb,L3T3_sf,2,2,329.544
bbb,L3T3_sf,3,2,280.728
bbb,L3T3_sf,4,2,294.56
bbb,L3T3_sf,5,2,259.912
bbb,L3T3_sf,6,2,314.64
bbb,L3T3_sf,7,2,290.952
bbb,L3T3_sf,8,2,327.728
bbb,L3T3_sf,9,2,274.408
bbb,L3T3_sf,10,2,296.12
bbb,L3T3_sf,11,2,384.024
bbb,L3T3_sf,12,2,144.624
bbb,L3T3_sf,13,2,264.032
bbb,L3T3_sf,14,2,268.624
bbb,L3T3_sf,15,2,289.968
bbb,L3T3_sf,16,2,292.152
bbb,L3T3_sf,17,2,351.696
bbb,L3T3_sf,18,2,261.848
bbb,L3T3_sf,19,2,346.304
bbb,L3T3_sf,20,2,253.704
bbb,L3T3_sf,21,2,244.768
bbb,L3T3_sf,22,2,250.904
bbb,L3T3_sf,23,2,165.016
bbb,L3T3_sf,24,2,229.0
bbb,L3T3_sf,25,2,280.8
bbb,L3T3_sf,26,2,313.04
bbb,L3T3_sf,27,2,279.432
bbb,L3T3_sf,28,2,333.912
bbb,L3T3_sf,29,2,276.568
bbb,L3T3_sf,30,2,310.336
bbb,L3T3_sf,31,2,278.312
bbb,L3T3_sf,32,2,328.72
bbb,L3T3_sf,33,2,274.656
bbb,L3T3_sf,34,2,296.696
bbb,L3T3_sf,35,2,285.04
bbb,L3T3_sf,36,2,329.664
bbb,L3T3_sf,37,2,286.912
bbb,L3T3_sf,38,2,318.584
bbb,L3T3_sf,39,2,289.232
bbb,L3T3_sf,40,2,315.728
bbb,L3T3_sf,41,2,283.264
bbb,L3T3_sf,42,2,322.84
bbb,L3T3_sf,43,2,292.624
bbb,L3T3_sf,44,2,315.648
bbb,L3T3_sf,45,2,262.64
bbb,L3T3_sf,46,2,333.648
bbb,L3T3_sf,47,2,401.352
bbb,L3T3_sf,48,2,152.656
bbb,L3T3_sf,49,2,249.336
bbb,L3T3_sf,50,2,304.288
bbb,L3T3_sf,51,2,281.472
bbb,L3T3_sf,52,2,317.808
bbb,L3T3_sf,53,2,292.36
bbb,L3T3_sf,54,2,321.088
bbb,L3T3_sf,55,2,277.536
bbb,L3T3_sf,56,2,233.744
bbb,L3T3_sf,57,2,302.0
bbb,L3T3_sf,58,2,348.648
bbb,L3T3_sf,59,2,262.88
bbb,L3T3_sf,60,2,443.368
bbb,L3T3_sf,61,2,205.456
bbb,L3T3_sf,62,2,262.384
bbb,L3T3_sf,63,2,264.28
bbb,L3T3_sf,64,2,192.968
bbb,L3T3_sf,65,2,310.584
bbb,L3T3_sf,66,2,270.016
bbb,L3T3_sf,67,2,326.024
bbb,L3T3_sf,68,2,337.336
bbb,L3T3_sf,69,2,323.056
bbb,L3T3_sf,70,2,224.504
bbb,L3T3_sf,71,2,351.944
bbb,L3T3_sf,72,2,158.408
bbb,L3T3_sf,73,2,165.648
bbb,L3T3_sf,74,2,209.304
bbb,L3T3_sf,75,2,155.808
bbb,L3T3_sf,76,2,186.776
bbb,L3T3_sf,77,2,183.112
bbb,L3T3_sf,78,2,193.632
bbb,L3T3_sf,79,2,179.224
bbb,L3T3_sf,80,2,194.048
bbb,L3T3_sf,81,2,170.744
bbb,L3T3_sf,82,2,214.464
bbb,L3T3_sf,83,2,163.696
bbb,L3T3_sf,84,2,177.904
bbb,L3T3_sf,85,2,227.352
bbb,L3T3_sf,86,2,219.488
bbb,L3T3_sf,87,2,195.544
bbb,L3T3_sf,88,2,249.384
bbb,L3T3_sf,89,2,227.432
bbb,L3T3_sf,90,2,295.592
bbb,L3T3_sf,91,2,229.024
bbb,L3T3_sf,92,2,275.896
bbb,L3T3_sf,93,2,288.824
bbb,L3T3_sf,94,2,356.648
bbb,L3T3_sf,95,2,309.712
bbb,L3T3_sf,96,2,327.216
