source,config,second,level,r_raw
johnny,L3T3_sf,0,1,80.848
johnny,L3T3_sf,1,1,58.232
johnny,L3T3_sf,2,1,73.192
johnny,L3T3_sf,3,1,76.768
johnny,L3T3_sf,4,1,78.776
johnny,L3T3_sf,5,1,64.552
johnny,L3T3_sf,6,1,75.584
johnny,L3T3_sf,7,1,79.184
johnny,L3T3_sf,8,1,89.24
johnny,L3T3_sf,9,1,66.8
johnny,L3T3_sf,10,1,79.848
johnny,L3T3_sf,11,1,65.664
johnny,L3T3_sf,12,1,80.6
johnny,L3T3_sf,13,1,74.608
johnny,L3T3_sf,14,1,79.736
johnny,L3T3_sf,15,1,63.064
johnny,L3T3_sf,16,1,79.728
johnny,L3T3_sf,17,1,71.76
johnny,L3T3_sf,18,1,88.768
johnny,L3T3_sf,19,1,64.6
johnny,L3T3_sf,20,1,85.136
johnny,L3T3_sf,21,1,63.128
johnny,L3T3_sf,22,1,77.976
johnny,L3T3_sf,23,1,79.936
johnny,L3T3_sf,24,1,72.144
johnny,L3T3_sf,25,1,63.592
johnny,L3T3_sf,26,1,89.8
johnny,L3T3_sf,27,1,64.616
johnny,L3T3_sf,28,1,94.112
johnny,L3T3_sf,29,1,62.888
johnny,L3T3_sf,30,1,84.944
johnny,L3T3_sf,31,1,63.648
johnny,L3T3_sf,32,1,78.624
johnny,L3T3_sf,33,1,75.952
johnny,L3T3_sf,34,1,75.84
johnny,L3T3_sf,35,1,64.208
johnny,L3T3_sf,36,1,83.432
johnny,L3T3_sf,37,1,71.24
johnny,L3T3_sf,38,1,89.608
johnny,L3T3_sf,39,1,69.76
johnny,L3T3_sf,40,1,82.488
johnny,L3T3_sf,41,1,63.328
johnny,L3T3_sf,42,1,76.68
johnny,L3T3_sf,43,1,81.728
johnny,L3T3_sf,44,1,74.264
johnny,L3T3_sf,45,1,63.08
johnny,L3T3_sf,46,1,87.112
johnny,L3T3_sf,47,1,64.52
johnny,L3T3_sf,48,1,93.44
johnny,L3T3_sf,49,1,66.96
johnny,L3T3_sf,50,1,78.656
johnny,L3T3_sf,51,1,65.752
johnny,L3T3_sf,52,1,79.344
johnny,L3T3_sf,53,1,84.128
johnny,L3T3_sf,54,1,69.432
johnny,L3T3_sf,55,1,64.568
johnny,L3T3_sf,56,1,81.52
johnny,L3T3_sf,57,1,73.008
johnny,L3T3_sf,58,1,93.552
johnny,L3T3_sf,59,1,60.456
johnny,L3T3_sf,0,2,284.728
johnny,L3T3_sf,1,2,245.832
johnny,L3T3_sf,2,2,318.848
johnny,L3T3_sf,3,2,297.2
johnny,L3T3_sf,4,2,323.312
johnny,L3T3_sf,5,2,267.736
johnny,L3T3_sf,6,2,278.424
johnny,L3T3_sf,7,2,321.504
johnny,L3T3_sf,8,2,338.584
johnny,L3T3_sf,9,2,277.6
johnny,L3T3_sf,10,2,324.216
johnny,L3T3_sf,11,2,260.552
johnny,L3T3_sf,12,2,316.192
johnny,L3T3_sf,13,2,299.232
johnny,L3T3_sf,14,2,314.424
johnny,L3T3_sf,15,2,262.856
johnny,L3T3_sf,16,2,312.52
johnny,L3T3_sf,17,2,279.136
johnny,L3T3_sf,18,2,336.488
johnny,L3T3_sf,19,2,278.976
johnny,L3T3_sf,20,2,322.744
johnny,L3T3_sf,21,2,260.12
johnny,L3T3_sf,22,2,312.504
johnny,L3T3_sf,23,2,305.664
johnny,L3T3_sf,24,2,310.952
johnny,L3T3_sf,25,2,259.04
johnny,L3T3_sf,26,2,328.896
johnny,L3T3_sf,27,2,268.216
johnny,L3T3_sf,28,2,341.528
johnny,L3T3_sf,29,2,281.608
johnny,L3T3_sf,30,2,333.656
johnny,L3T3_sf,31,2,257.944
johnny,L3T3_sf,32,2,312.28
johnny,L3T3_sf,33,2,305.128
johnny,L3T3_sf,34,2,311.96
johnny,L3T3_sf,35,2,255.96
johnny,L3T3_sf,36,2,320.848
johnny,L3T3_sf,37,2,277.44
johnny,L3T3_sf,38,2,339.528
johnny,L3T3_sf,39,2,283.08
johnny,L3T3_sf,40,2,331.224
johnny,L3T3_sf,41,2,261.0
johnny,L3T3_sf,42,2,306.264
johnny,L3T3_sf,43,2,309.12
johnny,L3T3_sf,44,2,309.168
johnny,L3T3_sf,45,2,253.36
johnny,L3T3_sf,46,2,328.528
johnny,L3T3_sf,47,2,273.296
johnny,L3T3_sf,48,2,343.512
johnny,L3T3_sf,49,2,277.88
johnny,L3T3_sf,50,2,324.112
johnny,L3T3_sf,51,2,263.776
johnny,L3T3_sf,52,2,308.872
johnny,L3T3_sf,53,2,318.552
johnny,L3T3_sf,54,2,302.456
johnny,L3T3_sf,55,2,251.12
johnny,L3T3_sf,56,2,319.512
johnny,L3T3_sf,57,2,288.56
johnny,L3T3_sf,58,2,341.632
johnny,L3T3_sf,59,2,269.176
johnny,L3T3_sf,0,3,337.384
johnny,L3T3_sf,1,3,331.568
johnny,L3T3_sf,2,3,402.44
johnny,L3T3_sf,3,3,396.92
johnny,L3T3_sf,4,3,402.344
johnny,L3T3_sf,5,3,353.168
johnny,L3T3_sf,6,3,363.12
johnny,L3T3_sf,7,3,417.456
johnny,L3T3_sf,8,3,442.728
johnny,L3T3_sf,9,3,392.008
johnny,L3T3_sf,10,3,392.664
johnny,L3T3_sf,11,3,344.312
johnny,L3T3_sf,12,3,397.264
johnny,L3T3_sf,13,3,398.48
johnny,L3T3_sf,14,3,392.368
johnny,L3T3_sf,15,3,347.824
johnny,L3T3_sf,16,3,403.424
johnny,L3T3_sf,17,3,374.92
johnny,L3T3_sf,18,3,444.552
johnny,L3T3_sf,19,3,399.944
johnny,L3T3_sf,20,3,390.92
johnny,L3T3_sf,21,3,347.488
johnny,L3T3_sf,22,3,396.336
johnny,L3T3_sf,23,3,401.04
johnny,L3T3_sf,24,3,387.36
johnny,L3T3_sf,25,3,348.416
johnny,L3T3_sf,26,3,413.312
johnny,L3T3_sf,27,3,367.6
johnny,L3T3_sf,28,3,439.976
johnny,L3T3_sf,29,3,406.192
johnny,L3T3_sf,30,3,399.856
johnny,L3T3_sf,31,3,344.112
johnny,L3T3_sf,32,3,392.184
johnny,L3T3_sf,33,3,407.144
johnny,L3T3_sf,34,3,387.936
johnny,L3T3_sf,35,3,341.128
johnny,L3T3_sf,36,3,410.192
johnny,L3T3_sf,37,3,375.72
johnny,L3T3_sf,38,3,439.824
johnny,L3T3_sf,39,3,406.968
johnny,L3T3_sf,40,3,399.864
johnny,L3T3_sf,41,3,341.472
johnny,L3T3_sf,42,3,390.624
johnny,L3T3_sf,43,3,403.544
johnny,L3T3_sf,44,3,388.92
johnny,L3T3_sf,45,3,338.312
johnny,L3T3_sf,46,3,416.56
johnny,L3T3_sf,47,3,367.0
johnny,L3T3_sf,48,3,451.88
