source,config,second,level,r_raw
bbb,L2T2_tf,0,1,147.112
bbb,L2T2_tf,1,1,358.248
bbb,L2T2_tf,2,1,256.544
bbb,L2T2_tf,3,1,253.816
bbb,L2T2_tf,4,1,242.568
bbb,L2T2_tf,5,1,272.56
bbb,L2T2_tf,6,1,263.832
bbb,L2T2_tf,7,1,279.584
bbb,L2T2_tf,8,1,258.304
bbb,L2T2_tf,9,1,260.336
bbb,L2T2_tf,10,1,270.928
bbb,L2T2_tf,11,1,274.696
bbb,L2T2_tf,12,1,244.144
bbb,L2T2_tf,13,1,282.272
bbb,L2T2_tf,14,1,260.016
bbb,L2T2_tf,15,1,236.432
bbb,L2T2_tf,16,1,278.168
bbb,L2T2_tf,17,1,304.928
bbb,L2T2_tf,18,1,246.592
bbb,L2T2_tf,19,1,287.952
bbb,L2T2_tf,20,1,264.36
bbb,L2T2_tf,21,1,201.648
bbb,L2T2_tf,22,1,252.472
bbb,L2T2_tf,23,1,274.584
bbb,L2T2_tf,24,1,277.648
bbb,L2T2_tf,25,1,278.344
bbb,L2T2_tf,26,1,271.584
bbb,L2T2_tf,27,1,262.248
bbb,L2T2_tf,28,1,262.608
bbb,L2T2_tf,29,1,257.72
bbb,L2T2_tf,30,1,279.52
bbb,L2T2_tf,31,1,261.656
bbb,L2T2_tf,32,1,259.824
bbb,L2T2_tf,33,1,274.248
bbb,L2T2_tf,34,1,260.368
bbb,L2T2_tf,35,1,278.648
bbb,L2T2_tf,36,1,267.944
bbb,L2T2_tf,37,1,256.304
bbb,L2T2_tf,38,1,232.568
bbb,L2T2_tf,39,1,276.52
bbb,L2T2_tf,40,1,269.944
bbb,L2T2_tf,41,1,252.864
bbb,L2T2_tf,42,1,262.448
bbb,L2T2_tf,43,1,273.328
bbb,L2T2_tf,44,1,259.096
bbb,L2T2_tf,45,1,274.392
bbb,L2T2_tf,46,1,263.944
bbb,L2T2_tf,47,1,398.456
bbb,L2T2_tf,48,1,268.296
bbb,L2T2_tf,49,1,242.192
bbb,L2T2_tf,50,1,265.624
bbb,L2T2_tf,51,1,257.392
bbb,L2T2_tf,52,1,265.248
bbb,L2T2_tf,53,1,266.88
bbb,L2T2_tf,54,1,282.896
bbb,L2T2_tf,55,1,266.416
bbb,L2T2_tf,56,1,242.032
bbb,L2T2_tf,57,1,285.016
bbb,L2T2_tf,58,1,276.848
bbb,L2T2_tf,59,1,257.216
bbb,L2T2_tf,60,1,308.72
bbb,L2T2_tf,61,1,216.416
bbb,L2T2_tf,62,1,273.664
bbb,L2T2_tf,63,1,410.608
bbb,L2T2_tf,64,1,258.8
bbb,L2T2_tf,65,1,248.272
