source,config,second,level,r_raw
johnny,L3T3_tf,0,1,80.848
johnny,L3T3_tf,1,1,58.232
johnny,L3T3_tf,2,1,73.192
johnny,L3T3_tf,3,1,76.768
johnny,L3T3_tf,4,1,78.776
johnny,L3T3_tf,5,1,64.552
johnny,L3T3_tf,6,1,75.584
johnny,L3T3_tf,7,1,79.184
johnny,L3T3_tf,8,1,89.24
johnny,L3T3_tf,9,1,66.8
johnny,L3T3_tf,10,1,79.848
johnny,L3T3_tf,11,1,65.664
johnny,L3T3_tf,12,1,80.6
johnny,L3T3_tf,13,1,74.608
johnny,L3T3_tf,14,1,79.736
johnny,L3T3_tf,15,1,63.064
johnny,L3T3_tf,16,1,79.728
johnny,L3T3_tf,17,1,71.76
johnny,L3T3_tf,18,1,88.768
johnny,L3T3_tf,19,1,64.6
johnny,L3T3_tf,20,1,85.136
johnny,L3T3_tf,21,1,63.128
johnny,L3T3_tf,22,1,77.976
johnny,L3T3_tf,23,1,79.936
johnny,L3T3_tf,24,1,72.144
johnny,L3T3_tf,25,1,63.592
johnny,L3T3_tf,26,1,89.8
johnny,L3T3_tf,27,1,64.616
johnny,L3T3_tf,28,1,94.112
johnny,L3T3_tf,29,1,62.888
johnny,L3T3_tf,30,1,84.944
johnny,L3T3_tf,31,1,63.648
johnny,L3T3_tf,32,1,78.624
johnny,L3T3_tf,33,1,75.952
johnny,L3T3_tf,34,1,75.84
johnny,L3T3_tf,35,1,64.208
johnny,L3T3_tf,36,1,83.432
johnny,L3T3_tf,37,1,71.24
johnny,L3T3_tf,38,1,89.608
johnny,L3T3_tf,39,1,69.76
johnny,L3T3_tf,40,1,82.488
johnny,L3T3_tf,41,1,63.328
johnny,L3T3_tf,42,1,76.68
johnny,L3T3_tf,43,1,81.728
johnny,L3T3_tf,44,1,74.264
johnny,L3T3_tf,45,1,63.08
johnny,L3T3_tf,46,1,87.112
johnny,L3T3_tf,47,1,64.52
johnny,L3T3_tf,48,1,93.44
johnny,L3T3_tf,49,1,66.96
johnny,L3T3_tf,50,1,78.656
johnny,L3T3_tf,51,1,65.752
johnny,L3T3_tf,52,1,79.344
johnny,L3T3_tf,53,1,84.128
johnny,L3T3_tf,54,1,69.432
johnny,L3T3_tf,55,1,64.568
johnny,L3T3_tf,56,1,81.52
johnny,L3T3_tf,57,1,73.008
johnny,L3T3_tf,58,1,93.552
johnny,L3T3_tf,59,1,60.456
johnny,L3T3_tf,0,2,93.6
johnny,L3T3_tf,1,2,78.072
johnny,L3T3_tf,2,2,93.904
johnny,L3T3_tf,3,2,104.8
johnny,L3T3_tf,4,2,99.352
johnny,L3T3_tf,5,2,85.64
johnny,L3T3_tf,6,2,97.688
johnny,L3T3_tf,7,2,103.56
johnny,L3T3_tf,8,2,118.256
johnny,L3T3_tf,9,2,96.776
johnny,L3T3_tf,10,2,95.208
johnny,L3T3_tf,11,2,85.984
johnny,L3T3_tf,12,2,100.952
johnny,L3T3_tf,13,2,99.976
johnny,L3T3_tf,14,2,98.968
johnny,L3T3_tf,15,2,83.424
johnny,L3T3_tf,16,2,103.312
johnny,L3T3_tf,17,2,95.368
johnny,L3T3_tf,18,2,118.352
johnny,L3T3_tf,19,2,95.504
johnny,L3T3_tf,20,2,100.056
johnny,L3T3_tf,21,2,85.384
johnny,L3T3_tf,22,2,99.28
johnny,L3T3_tf,23,2,105.696
johnny,L3T3_tf,24,2,90.568
johnny,L3T3_tf,25,2,85.48
johnny,L3T3_tf,26,2,111.224
johnny,L3T3_tf,27,2,88.664
johnny,L3T3_tf,28,2,121.208
johnny,L3T3_tf,29,2,95.056
johnny,L3T3_tf,30,2,100.0
johnny,L3T3_tf,31,2,84.288
johnny,L3T3_tf,32,2,98.544
johnny,L3T3_tf,33,2,102.224
johnny,L3T3_tf,34,2,94.84
johnny,L3T3_tf,35,2,84.776
johnny,L3T3_tf,36,2,106.976
johnny,L3T3_tf,37,2,94.664
johnny,L3T3_tf,38,2,116.392
johnny,L3T3_tf,39,2,101.784
johnny,L3T3_tf,40,2,97.248
johnny,L3T3_tf,41,2,83.864
johnny,L3T3_tf,42,2,98.728
johnny,L3T3_tf,43,2,105.152
johnny,L3T3_tf,44,2,94.384
johnny,L3T3_tf,45,2,83.488
johnny,L3T3_tf,46,2,110.456
johnny,L3T3_tf,47,2,88.456
johnny,L3T3_tf,48,2,123.136
johnny,L3T3_tf,49,2,88.008
johnny,L3T3_tf,50,2,101.0
johnny,L3T3_tf,51,2,87.24
johnny,L3T3_tf,52,2,100.432
johnny,L3T3_tf,53,2,109.872
johnny,L3T3_tf,54,2,88.704
johnny,L3T3_tf,55,2,85.032
johnny,L3T3_tf,56,2,105.192
johnny,L3T3_tf,57,2,95.424
johnny,L3T3_tf,58,2,121.816
johnny,L3T3_tf,59,2,82.104
johnny,L3T3_tf,0,3,337.384
johnny,L3T3_tf,1,3,331.568
johnny,L3T3_tf,2,3,402.44
johnny,L3T3_tf,3,3,396.92
johnny,L3T3_tf,4,3,402.344
johnny,L3T3_tf,5,3,353.168
johnny,L3T3_tf,6,3,363.12
johnny,L3T3_tf,7,3,417.456
johnny,L3T3_tf,8,3,442.728
johnny,L3T3_tf,9,3,392.008
johnny,L3T3_tf,10,3,392.664
johnny,L3T3_tf,11,3,344.312
johnny,L3T3_tf,12,3,397.264
johnny,L3T3_tf,13,3,398.48
johnny,L3T3_tf,14,3,392.368
johnny,L3T3_tf,15,3,347.824
johnny,L3T3_tf,16,3,403.424
johnny,L3T3_tf,17,3,374.92
johnny,L3T3_tf,18,3,444.552
johnny,L3T3_tf,19,3,399.944
johnny,L3T3_tf,20,3,390.92
johnny,L3T3_tf,21,3,347.488
johnny,L3T3_tf,22,3,396.336
johnny,L3T3_tf,23,3,401.04
johnny,L3T3_tf,24,3,387.36
johnny,L3T3_tf,25,3,348.416
johnny,L3T3_tf,26,3,413.312
